gene,logFC,AveExpr,t,P.Value,adj.P.Val,sig,dir
S100A8,0.495844473154833,12.189670613876,8.43143692594519,2.88213372081292e-14,5.13609812399248e-11,TRUE,Up in RA
BLOC1S2,0.480681165307117,9.65036998825406,7.85638274862838,7.61974217783203e-13,3.23688305062182e-10,TRUE,Up in RA
SF3B3,-0.347956421169206,7.29731806914209,-7.75639672827192,1.33492107569792e-12,4.67608020360585e-10,TRUE,Down in RA
TMC8,-0.387515134174888,9.52687402082683,-7.48713221423019,5.95756562343544e-12,1.28642612222209e-09,TRUE,Down in RA
NUMA1,-0.315561612242316,7.65936993316938,-7.37138698161857,1.1256193901118e-11,1.95147997357032e-09,TRUE,Down in RA
YLPM1,-0.3163463233486,8.70182405594475,-7.30839632550072,1.58854268979877e-11,2.40771138647097e-09,TRUE,Down in RA
MIER1,0.320867272706684,9.68147410746472,7.18166558916886,3.16440086673737e-11,3.69484821202824e-09,TRUE,Up in RA
HDAC1,-0.208359418903449,10.1285188154913,-7.13887055966354,3.98870909827008e-11,4.36625149416884e-09,TRUE,Down in RA
CHD8,-0.325493270806079,7.7990800257191,-7.12305536112622,4.34429724069905e-11,4.65844608198225e-09,TRUE,Down in RA
LIG4,0.711390743790794,5.83696534615117,7.10295846488196,4.84165402807296e-11,5.02098634503382e-09,TRUE,Up in RA
GMFB,0.402868262891169,8.85088199843482,6.97551261110688,9.59615738417833e-11,8.22088200254364e-09,TRUE,Up in RA
SRRM2,-0.269851402645634,10.5072075533499,-6.96572997370296,1.01111325345006e-10,8.56891301835124e-09,TRUE,Down in RA
CARD11,-0.259684805900735,5.89259128277796,-6.94248412005285,1.14468594727346e-10,9.34905937143601e-09,TRUE,Down in RA
FOXP4,-0.338629562689279,4.57754013372796,-6.90435148233513,1.40248627913274e-10,1.07840932770582e-08,TRUE,Down in RA
B4GALT6,0.508759755776743,5.24167153476033,6.83052315229474,2.07505329915624e-10,1.39782329720512e-08,TRUE,Up in RA
SMARCA4,-0.324730424549949,7.36471918299202,-6.80141095620232,2.4203294139747e-10,1.55088018506029e-08,TRUE,Down in RA
ZCCHC10,0.822649628636628,7.2625820096743,6.72863859734857,3.55109620413717e-10,2.08088957121986e-08,TRUE,Up in RA
