dataset_id,dataset_name,omics_type,source,file_path,format,platform,description,preloaded,normalized,annotation_required
tx_default_dataset,Default expression cohort,transcriptomics,"GSE93272 + GSE110169 (merged, sex-stratified RA blood cohort)",preloaded/transcriptomics/processed/combined_expr_batchcorrected.rds;combined_meta.csv,rds;csv,Microarray (merged),App opens with this batch-corrected expression matrix + sample metadata loaded by default; replaced transparently by any user upload.,TRUE,TRUE,FALSE
tx_mr_instruments,MR exposure instruments (legacy),transcriptomics,Project MR pipeline (scripts/00_shared/10_MR.R),preloaded/transcriptomics/processed/new/MR_instruments.rds,rds,NA,Genetics-submodule instrument object; superseded by MR_primary_objects.rds but kept for parity.,TRUE,NA,FALSE
tx_mr_primary_objects,Cached cis-eQTL MR run,transcriptomics,Project MR pipeline (Okada 2014 RA GWAS),preloaded/transcriptomics/processed/new/MR_primary_objects.rds,rds,NA,Cis-restricted (+/-1Mb) MHC-flagged harmonised MR instruments for 1701 genes; MR tab's live advanced filters subset this.,TRUE,FALSE,FALSE
tx_coloc_regions,Colocalisation candidate regions,transcriptomics,Project coloc pipeline,preloaded/transcriptomics/processed/new/coloc_regions.rds,rds,NA,Per-gene coloc regions feeding the Colocalisation tab's gene picker/SNP results.,TRUE,FALSE,FALSE
tx_val_synovium,Cross-tissue validation cohort,transcriptomics,GSE89408 (synovium RNA-seq),preloaded/transcriptomics/processed/new/val_synovium.rds,rds,RNA-seq,Bundled synovium DGE table (tt/fsig/msig panels) for Cross-Tissue Validation.,TRUE,TRUE,FALSE
tx_dge_results,Bundled blood DGE results,transcriptomics,limma DGE (RA vs HC),preloaded/transcriptomics/processed/dge_results.rds,rds,NA,Bundled fallback blood-direction-of-effect table used by Cross-Tissue Validation when no live DGE run matches.,TRUE,FALSE,FALSE
tx_wgcna_network,WGCNA network fit,transcriptomics,WGCNA::blockwiseModules (all genes),preloaded/transcriptomics/processed/wgcna_results.rds;wgcna_net_00048f2e.rds,rds,NA,Precomputed WGCNA co-expression network + raw blockwiseModules object for the WGCNA tab's hub table/dendrogram.,TRUE,TRUE,FALSE
tx_feature_selection_fastpath,Feature selection fast-path results,transcriptomics,LASSO/RF/SVM-RFE (glmnet/randomForest/e1071),preloaded/transcriptomics/processed/new/ml_features.rds;ml_features_noMHC.rds,rds,NA,Precomputed per-sex feature-selection run used by Feature Selection's fast-path eligibility check.,TRUE,TRUE,FALSE
tx_cross_ancestry_validation,Cross-ancestry MR replication,transcriptomics,MR35 cross-ancestry replication,preloaded/transcriptomics/results/tables/MR35_crossancestry_female.csv;MR35_crossancestry_male.csv,csv,NA,Cross-Ancestry Validation tab's main replication tables.,TRUE,FALSE,FALSE
tx_wgcna_hub_tables,WGCNA hub gene tables,transcriptomics,WGCNA pipeline output,preloaded/transcriptomics/results/tables/WGCNA_05_gene_module_assignment.csv;WGCNA_07_hub_genes_only.csv,csv,NA,Per-gene module/hub annotation used by Functional Enrichment's WGCNA panel.,TRUE,FALSE,FALSE
tx_fs_venn_membership,Feature-selection Venn membership,transcriptomics,Project FS pipeline,preloaded/transcriptomics/results/tables/FS_venn_membership.csv,csv,NA,Bundled same-tissue overlap panel used by Enrichment/Nomogram fallbacks.,TRUE,FALSE,FALSE
tx_fs_input_candidates,Feature-selection candidate gene lists,transcriptomics,Project FS pipeline,preloaded/transcriptomics/results/tables/FS_input_female.csv;FS_input_female_noMHC.csv;FS_input_male.csv;FS_input_male_noMHC.csv,csv,NA,Per-sex/MHC-status candidate gene list fallback for Feature Selection and Diagnostic Classifier.,TRUE,FALSE,FALSE
tx_mr_mhc_sensitivity,MR MHC-inclusion sensitivity tables,transcriptomics,Project MR pipeline,preloaded/transcriptomics/results/tables/MR_MHC_sensitivity_female.csv;MR_MHC_sensitivity_male.csv,csv,NA,MR tab's MHC-inclusion/exclusion sensitivity panel.,TRUE,FALSE,FALSE
tx_candidates_disease,Candidate gene disease annotation,transcriptomics,Project MR pipeline,preloaded/transcriptomics/results/tables/candidates_female_disease.csv;candidates_male_disease.csv,csv,NA,MR tab's candidate-gene disease-annotation panel.,TRUE,FALSE,FALSE
tx_mr_full_export,MR full results (Excel export),transcriptomics,Project MR pipeline,preloaded/transcriptomics/results/tables/MR_female_all_tables.xlsx;MR_male_all_tables.xlsx,xlsx,NA,Passthrough source for the MR tab's Download-all-tables button.,TRUE,FALSE,FALSE
tx_deg_tables,Differential expression tables,transcriptomics,limma/DESeq2 DGE,preloaded/transcriptomics/results/tables/DEG_female_full.csv;DEG_male_full.csv;DEG_all_full.csv,csv,NA,Full DEG tables; also read directly by Cross-Omics Integration's Preloaded pathway.,TRUE,FALSE,FALSE
tx_gene_panels,Curated reference gene panels,transcriptomics,User-curated (e.g. ferroptosis panel),annotations/gene_panels/ferroptosis_soorya_sundararajan_2025.txt,txt,NA,Optional third gene-set panel offered across submodules (Candidate Gene ID etc.); drop-in extensible folder.,TRUE,NA,TRUE
tx_methodology_docs,Transcriptomics methodology write-ups,documentation,Project thesis chapter + satellite docs,preloaded/transcriptomics/Chapter_2_subchapter2_sexstratified.md;preloaded/transcriptomics/results/METHODS_*.md,md,NA,Narrative + per-section methodology docs surfaced by the ArthOChat assistant's project_methods() tool.,TRUE,NA,FALSE
meth_qc_tables,Methylomics QC reference tables,methylomics,GSE42861 (Liu et al. 2013),preloaded/methylomics/tables/script01_dataload_QC/tables/sample_metadata_qc.csv;qc_pca_sexcheck.csv,csv,Illumina 450K,Sample metadata + PCA/sex-check results for the QC and DMP/DMR default-context panels.,TRUE,FALSE,FALSE
meth_dmp_plain,DMP results (unadjusted),methylomics,GSE42861 sex-stratified DMP pipeline,preloaded/methylomics/tables/script03_dmp_sexstratified/tables/,csv,Illumina 450K,Unadjusted per-CpG DMP results (plain limma) - demonstrates severe genomic inflation before SVA/bacon correction.,TRUE,FALSE,FALSE
meth_dmp_sva,DMP results (SVA/bacon-corrected),methylomics,GSE42861 sex-stratified DMP pipeline,preloaded/methylomics/tables/script03_dmp_sva_sexstratified/tables/,csv,Illumina 450K,Inflation-corrected DMP results; the app's default/SVA reference tab and DMR region-calling input.,TRUE,TRUE,FALSE
meth_dmr_regions,DMR region calls,methylomics,DMRcate (kernel-smoothed),preloaded/methylomics/tables/script04_dmr_sexstratified/tables/,csv,Illumina 450K,Region-level DMR calls with BH-FDR on the Stouffer statistic; feeds DMR tab and Biomarker Card.,TRUE,TRUE,FALSE
meth_wgcna_reference,Methylation WGCNA reference,methylomics,Co-methylation network pipeline,preloaded/methylomics/tables/script05_wgcna_sexstratified/tables/,csv,Illumina 450K,Published co-methylation module-trait/module-assignment tables for the WGCNA 'compare with published results' panel.,TRUE,TRUE,FALSE
meth_fs_votes,ML feature-selection ensemble votes,methylomics,LASSO/Boruta/SVM-RFE ensemble,preloaded/methylomics/tables/script07_ml_feature_selection/tables/,csv,Illumina 450K,Majority-vote CpG panel source for the Diagnostic Classifier and Biomarker Card.,TRUE,FALSE,FALSE
