sex,drug,source,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
male,Etanercept,GO_BP,GO:0098869,cellular oxidant detoxification,2/11,72/12671,0.0016942019139156899,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:1990748,cellular detoxification,2/11,92/12671,0.0027484583763392116,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0097237,cellular response to toxic substance,2/11,99/12671,0.0031745429567011777,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0098754,detoxification,2/11,108/12671,0.003765096018455243,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0051897,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,2/11,135/12671,0.0058190624502118095,0.12775731788825567,0.08879385261856744,SESN2/C1QBP,2
male,Etanercept,GO_BP,GO:0000302,response to reactive oxygen species,2/11,163/12671,0.00838219226933884,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0009267,cellular response to starvation,2/11,165/12671,0.008581662228479127,0.12775731788825567,0.08879385261856744,SESN2/GABARAPL1,2
male,Etanercept,GO_BP,GO:0030728,ovulation,1/11,10/12671,0.008650465837998333,0.12775731788825567,0.08879385261856744,NOS3,1
male,Etanercept,GO_BP,GO:0036490,regulation of translation in response to endoplasmic reticulum stress,1/11,10/12671,0.008650465837998333,0.12775731788825567,0.08879385261856744,SESN2,1
male,Etanercept,GO_BP,GO:0039530,MDA-5 signaling pathway,1/11,10/12671,0.008650465837998333,0.12775731788825567,0.08879385261856744,C1QBP,1
male,Etanercept,GO_BP,GO:0070307,lens fiber cell development,1/11,10/12671,0.008650465837998333,0.12775731788825567,0.08879385261856744,BFSP1,1
male,Etanercept,GO_BP,GO:0072331,signal transduction by p53 class mediator,2/11,167/12671,0.008783281683492102,0.12775731788825567,0.08879385261856744,TP53BP2/SESN2,2
male,Etanercept,GO_BP,GO:0051924,regulation of calcium ion transport,2/11,170/12671,0.009089726637918658,0.12775731788825567,0.08879385261856744,NOS3/STIMATE,2
male,Etanercept,GO_BP,GO:0072593,reactive oxygen species metabolic process,2/11,180/12671,0.010145744404519987,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0009636,response to toxic substance,2/11,181/12671,0.010254247195699352,0.12775731788825567,0.08879385261856744,NOS3/SESN2,2
male,Etanercept,GO_BP,GO:0007263,nitric oxide mediated signal transduction,1/11,12/12671,0.010372373754436226,0.12775731788825567,0.08879385261856744,NOS3,1
